feature,importance
divyield,0.06556164405977821
marketcap,0.048476394348954135
netinccmnusd,0.04388926656725892
revenueusd,0.042551026473575636
fcfusd,0.04229981486293583
equityusd,0.038642900091364195
assetscusd,0.036913026183966885
assetsncusd,0.03683694532151288
liabilitiesncusd,0.0365789176658363
liabilitiescusd,0.036164734789501496
industry,0.035579793988582215
assetsusd,0.03556890167592123
cashnequsd,0.03531339841638562
liabilitiesusd,0.03521051509919683
debtusd,0.031041386853408928
debtcusd,0.030168094924685657
intangiblesusd,0.02941245418918518
debtncusd,0.02940195677644724
sector,0.027872840917619466
price_copper_ttm,0.018756892146963435
price_rice_ttm,0.01808831325109408
rate_real_rate_1_yr_ttm,0.015753583348020093
rate_treasury_1_yr_ttm,0.015497735218223277
unemployment_rate_ttm,0.012907478245007972
price_natural_gas_ttm,0.012259044593022066
price_crude_oil_ttm,0.012014992057699798
rate_treasury_10_yr_ttm,0.01192703424336458
industrial_production_ttm,0.011895303132721574
disposable_income_ttm,0.010437834850440928
savings_rate_ttm,0.010422605032051094
cpi_ttm,0.010270881457975842
retail_sales_ttm,0.010245236362842516
price_real_estate_US_ttm,0.0100799867414979
jobs_ttm,0.010041281784166169
rate_real_rate_1_mth_ttm,0.009895844153953176
price_gold_ttm,0.009866351934582499
real_disposable_income_ttm,0.009725242493085961
price_iron_ttm,0.009655191838142922
price_steel_ttm,0.009529290287273291
price_corn_ttm,0.009234187454538918
rate_treasury_30_yr_ttm,0.00914241509996819
price_soybeans_ttm,0.009124839585075841
rate_real_rate_10_yr_ttm,0.008820477437449806
price_wheat_ttm,0.006923944044721416
